# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
PMS2	PMS2	NM_001322006.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
PMS2	PMS2	NM_001322007.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
PMS2	PMS2	NM_001322008.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
PMS2	PMS2	NM_001322009.1	protein_coding	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
PMS2	PMS2	NM_001322010.1	protein_coding	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
PMS2	PMS2	NM_001322011.1	protein_coding	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
PMS2	PMS2	NM_001322012.1	protein_coding	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
PMS2	PMS2	NM_001322013.1	protein_coding	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
PMS2	PMS2	NM_001322014.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
PMS2	PMS2	NM_001322015.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
PMS2	PMS2	NR_136154.1		0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
POTEE	POTEE	NM_001083538.1	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
POTEKP	POTEKP	NR_033885.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PSG5	PSG5	NM_001130014.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
PSG5	PSG5	NM_002781.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
RANBP2	RANBP2	NM_006267.4	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
RGPD1	RGPD1.2	NM_001024457.3.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0
RGPD2	RGPD2.2	NM_001078170.2.2	protein_coding	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0
RNA45S5	RNA45S5	NR_046235.1		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
RNR1	RNR1	NR_137294.1		0	0	0	4	0	0	4	0	0	0	0	0	0	0	0
RNR2	RNR2	NR_137295.1		0	0	0	4	0	0	2	0	0	2	0	0	0	0	0
SENP5	SENP5	NM_001308045.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
SENP5	SENP5	NM_152699.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
SLC7A7	SLC7A7	NM_001126105.2	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
SLC7A7	SLC7A7	NM_001126106.2	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
SLC7A7	SLC7A7	NR_040448.1		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
TMEM5-AS1	TMEM5-AS1	NR_126167.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TSC1	TSC1	NM_000368.4	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TSC1	TSC1	NM_001162426.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TSC1	TSC1	NM_001162427.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
UGT2B7	UGT2B7	NM_001074.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
USP6	USP6	NM_001304284.1	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
USP6	USP6	NM_004505.3	protein_coding	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ZNF468	ZNF468	NM_001008801.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ZNF468	ZNF468	NM_001277120.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ZNF468	ZNF468	NR_102299.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ZNF468	ZNF468	NR_102300.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ZNF468	ZNF468	NR_102301.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ZNF845	ZNF845	NM_001321522.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ZNF845	ZNF845	NM_001321523.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ZNF845	ZNF845	NM_001321524.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ZNF845	ZNF845	NM_138374.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
